Recording	Participant	Timeline	TOI	Interval	Media	AOI	Last_key_press	Total_duration_of_fixations	Average_duration_of_fixations	Minimum_duration_of_fixations	Maximum_duration_of_fixations	Number_of_fixations	Time_to_first_fixation	Duration_of_first_fixation	Last_AOI_viewed	AOI_at_interval_end	Average_pupil_diameter	Total_duration_of_whole_fixations	Average_duration_of_whole_fixations	Minimum_duration_of_whole_fixations	Maximum_duration_of_whole_fixations	Number_of_whole_fixations	Time_to_first_whole_fixation	Duration_of_first_whole_fixation	Average_whole-fixation_pupil_diameter	Total_duration_of_Visit	Average_duration_of_Visit	Minimum_duration_of_Visit	Maximum_duration_of_Visit	Number_of_Visits	Time_to_first_Visit	Duration_of_first_Visit	Total_duration_of_Glances	Average_duration_of_Glances	Minimum_duration_of_Glances	Maximum_duration_of_Glances	Number_of_Glances	Time_to_first_Glance	Duration_of_first_Glance	Number_of_mouse_clicks	Time_to_first_mouse_click	Time_from_first_fixation_to_mouse_click	Number_of_mouse_clicks_and_releases	Time_to_first_mouse_click_and_release	Time_from_first_fixation_to_mouse_click_and_release	Number_of_saccades_in_AOI	Time_to_entry_saccade	Time_to_exit_saccade	Peak_velocity_of_entry_saccade	Character_index	Word_index	Sentence_index	AOI_string	Text_unit_type	Number_of_units	First-pass_first_fixation_duration	First-pass_duration	Selective_regression-path_duration	First-pass_regression	Total_duration_of_fixations	Regression-path_duration	Re-reading_duration
0_Christoph_Haerdl	Christoph_Haerdl	Timeline1	hack	1	nudelhack	calories		0				0			preparation_text	preparation_text		0				0				0				0			0				0			0			0			0																
0_Christoph_Haerdl	Christoph_Haerdl	Timeline1	hack	1	nudelhack	duration		0				0			preparation_text	preparation_text		0				0				0				0			0				0			0			0			0																
0_Christoph_Haerdl	Christoph_Haerdl	Timeline1	hack	1	nudelhack	easiness		0				0			preparation_text	preparation_text		0				0				0				0			0				0			0			0			0																
0_Christoph_Haerdl	Christoph_Haerdl	Timeline1	hack	1	nudelhack	ingredients		11733	309	90	713	38	1573	133	preparation_text	preparation_text	2,76467	11733	309	90	713	38	1573	133	2,76467	12817	6408	5857	6960	2	1573	6960	12903	6452	5883	7020	2	1513	7020	0			0			30	1513	14806	1173,02													
0_Christoph_Haerdl	Christoph_Haerdl	Timeline1	hack	1	nudelhack	picture		1527	153	60	257	10	430	90	preparation_text	preparation_text	2,87697	1527	153	60	257	10	430	90	2,87697	1810	452	60	1083	4	430	1083	2000	500	80	1150	4	363	1150	0			0			5	363	1513	369,2													
0_Christoph_Haerdl	Christoph_Haerdl	Timeline1	hack	1	nudelhack	preparation_text		8000	200	60	467	40	18176	280	preparation_text	preparation_text	2,8733	7727	203	60	467	38	18176	280	2,87148	12740	2548	270	8277	5	18176	280	12850	2570	307	8293	5	18150	307	0			0			17	18150	29016	138,2													
0_Christoph_Haerdl	Christoph_Haerdl	Timeline1	hack	1	nudelhack	preparation_time		1260	180	97	330	7	14850	177	preparation_text	preparation_text	2,76084	1260	180	97	330	7	14850	177	2,76084	1477	369	160	600	4	14850	600	1593	398	177	643	4	14806	643	0			0			2	14806	15450	261,01													
0_Christoph_Haerdl	Christoph_Haerdl	Timeline1	hack	1	nudelhack	rating		0				0			preparation_text	preparation_text		0				0				0				0			0				0			0			0			0																
0_Christoph_Haerdl	Christoph_Haerdl	Timeline1	hawai	1	hawaii	calories		0				0			preparation_time			0				0				0				0			0				0			0			0			0																
0_Christoph_Haerdl	Christoph_Haerdl	Timeline1	hawai	1	hawaii	duration		0				0			preparation_time			0				0				0				0			0				0			0			0			0																
0_Christoph_Haerdl	Christoph_Haerdl	Timeline1	hawai	1	hawaii	easiness		0				0			preparation_time			0				0				0				0			0				0			0			0			0																
0_Christoph_Haerdl	Christoph_Haerdl	Timeline1	hawai	1	hawaii	ingredients		6957	290	140	657	24	1261	173	preparation_time		2,82432	6957	290	140	657	24	1261	173	2,82432	7407	2469	173	6580	3	1261	173	7550	2517	207	6640	3	1228	207	0			0			21	1228	1434	169,16													
0_Christoph_Haerdl	Christoph_Haerdl	Timeline1	hawai	1	hawaii	picture		800	267	117	347	3	588	117	preparation_time		2,85419	800	267	117	347	3	588	117	2,85419	800	267	117	347	3	588	117	900	300	180	360	3	524	180	0			0			0	524	704	355													
